"","Species","GS","lat","long"
"327","Chymomyza_amoena",395.2,51.45,5.55
"328","Chymomyza_amoena",395.2,51.95,5.35
"329","Chymomyza_amoena",395.2,51.25,6.05
"330","Chymomyza_amoena",395.2,51.45,4.35
"331","Chymomyza_amoena",395.2,51.2,5.9
"332","Chymomyza_amoena",395.2,51.65,5.35
"333","Chymomyza_amoena",395.2,52.2,5.25
"334","Chymomyza_amoena",395.2,51.55,5.2
"335","Chymomyza_amoena",395.2,52.15,4.5
"336","Chymomyza_amoena",395.2,52.15,5.35
"337","Chymomyza_amoena",395.2,52.15,5.35
"338","Chymomyza_amoena",395.2,52.15,5.35
"339","Chymomyza_amoena",395.2,52.15,5.35
"340","Chymomyza_amoena",395.2,52.15,5.35
"341","Chymomyza_amoena",395.2,52.15,5.35
"342","Chymomyza_amoena",395.2,52.25,6.2
"343","Chymomyza_amoena",395.2,52.05,5.1
"344","Chymomyza_amoena",395.2,52.15,5.35
"345","Chymomyza_amoena",395.2,52.3,5.2
"346","Chymomyza_amoena",395.2,50.8,5.85
"347","Chymomyza_amoena",395.2,51.45,4.35
"348","Chymomyza_amoena",395.2,52.5,6.45
"349","Chymomyza_amoena",395.2,52.15,5.25
"350","Chymomyza_amoena",395.2,51.15,6.05
"351","Chymomyza_amoena",395.2,51.8,4.35
"352","Chymomyza_amoena",395.2,51.4,7.06
"353","Chymomyza_amoena",395.2,51.8,5.9
"354","Chymomyza_amoena",395.2,51.4,5.5
"355","Chymomyza_amoena",395.2,51.7,5.85
"356","Chymomyza_amoena",395.2,51.7,5.85
"357","Chymomyza_amoena",395.2,51.4,5.5
"358","Chymomyza_amoena",395.2,51.5,4.75
"359","Chymomyza_amoena",395.2,51.4,5.5
"360","Chymomyza_amoena",395.2,51.4,5.5
"361","Chymomyza_amoena",395.2,51.4,5.5
"362","Chymomyza_amoena",395.2,51.4,5.5
"363","Chymomyza_amoena",395.2,32.967234,-96.657631
"364","Chymomyza_amoena",395.2,43.671073,-79.416819
"365","Chymomyza_amoena",395.2,38.579836,-77.371739
"366","Chymomyza_amoena",395.2,42.452112,-76.476792
"367","Chymomyza_amoena",395.2,53.106521,8.860995
"368","Chymomyza_amoena",395.2,38.79154,-77.288173
"369","Chymomyza_amoena",395.2,47.087061,15.463635
"370","Chymomyza_amoena",395.2,51.966314,7.607556
"371","Chymomyza_amoena",395.2,47.77,13.04
"372","Chymomyza_amoena",395.2,38.978882,-77.0431
"373","Chymomyza_amoena",395.2,41.403717,-75.687172
"374","Chymomyza_amoena",395.2,51.95,5.95
"375","Chymomyza_amoena",395.2,52.3,4.85
"376","Chymomyza_amoena",395.2,52.1,5.35
"377","Chymomyza_amoena",395.2,51.1,5.9
"378","Chymomyza_amoena",395.2,52.55,6.6
"379","Chymomyza_amoena",395.2,52.15,5.35
"380","Chymomyza_amoena",395.2,50.9,5.9
"381","Chymomyza_amoena",395.2,52.05,4.25
"382","Chymomyza_amoena",395.2,52.4,6.2
"383","Chymomyza_amoena",395.2,51.3,5.65
"384","Chymomyza_amoena",395.2,51.3,5.8
"385","Chymomyza_amoena",395.2,52.25,5.15
"386","Chymomyza_amoena",395.2,51.9,5.65
"387","Chymomyza_amoena",395.2,50.9,5.9
"388","Chymomyza_amoena",395.2,52.55,6.6
"389","Chymomyza_amoena",395.2,53.15,6.55
"390","Chymomyza_amoena",395.2,51.5,6
"391","Chymomyza_amoena",395.2,51.8,5.8
"392","Chymomyza_amoena",395.2,51.95,5.65
"393","Chymomyza_amoena",395.2,51.95,5.9
"394","Chymomyza_amoena",395.2,51.25,5.4
"395","Chymomyza_amoena",395.2,47.090596,15.441577
"396","Chymomyza_amoena",395.2,43.828024,-79.269472
"397","Chymomyza_amoena",395.2,36.286616,-95.32225
"398","Chymomyza_amoena",395.2,47.046016,15.382456
"399","Chymomyza_amoena",395.2,45.344713,-75.824226
"400","Chymomyza_amoena",395.2,39.311927,-76.776436
"401","Chymomyza_amoena",395.2,41.403717,-75.687172
"402","Chymomyza_amoena",395.2,51.95,5.65
"403","Chymomyza_amoena",395.2,52.3,5.85
"404","Chymomyza_amoena",395.2,52,5.65
"405","Chymomyza_amoena",395.2,51.25,5.4
"406","Chymomyza_amoena",395.2,52.65,6.7
"407","Chymomyza_amoena",395.2,52.15,5.35
"408","Chymomyza_amoena",395.2,51.95,5.65
"409","Chymomyza_amoena",395.2,52.25,6.2
"410","Chymomyza_amoena",395.2,52.1,5.85
"411","Chymomyza_amoena",395.2,51.35,5.45
"412","Chymomyza_amoena",395.2,51.45,6.15
"413","Chymomyza_amoena",395.2,52.3,5.95
"414","Chymomyza_amoena",395.2,35.103178,-84.931845
"415","Chymomyza_amoena",395.2,42.071677,-80.123879
"416","Chymomyza_amoena",395.2,50.126037,8.73064
"417","Chymomyza_amoena",395.2,42.418555,-71.116952
"418","Chymomyza_amoena",395.2,41.917169,-88.052642
"419","Chymomyza_amoena",395.2,41.907778,-71.120833
"420","Chymomyza_amoena",395.2,49.307681,12.86169
"421","Chymomyza_amoena",395.2,46.648603,14.33296
"422","Chymomyza_amoena",395.2,52.315718,15.750745
"423","Chymomyza_amoena",395.2,45.453966,-75.655793
"424","Chymomyza_amoena",395.2,52.3,4.95
"425","Chymomyza_amoena",395.2,51.1,5.9
"426","Chymomyza_amoena",395.2,51.35,5.35
"427","Chymomyza_amoena",395.2,51.35,5.55
"428","Chymomyza_amoena",395.2,52.05,6.1
"429","Chymomyza_amoena",395.2,51.25,5.4
"430","Chymomyza_amoena",395.2,50.9,5.9
"431","Chymomyza_amoena",395.2,51.65,5.35
"432","Chymomyza_amoena",395.2,51.3,5.85
"433","Chymomyza_amoena",395.2,52.1,5.2
"434","Chymomyza_amoena",395.2,51.55,4.85
"435","Chymomyza_amoena",395.2,52.25,5.2
"436","Chymomyza_amoena",395.2,52.1,5.15
"437","Chymomyza_amoena",395.2,52.05,5.1
"438","Chymomyza_amoena",395.2,51.9,6.4
"439","Chymomyza_amoena",395.2,52.05,5.1
"440","Chymomyza_amoena",395.2,51.944211,7.652498
"441","Chymomyza_amoena",395.2,51.3,6.1
"442","Chymomyza_amoena",395.2,52.15,5.35
"443","Chymomyza_amoena",395.2,52.05,4.45
"444","Chymomyza_amoena",395.2,52.2,5.95
"445","Chymomyza_amoena",395.2,51.45,6.05
"446","Chymomyza_amoena",395.2,51.35,5.1
"447","Chymomyza_amoena",395.2,52.95,6.65
"448","Chymomyza_amoena",395.2,52.65,6.7
"449","Chymomyza_amoena",395.2,52.75,6.9
"450","Chymomyza_amoena",395.2,52.2,5.35
"451","Chymomyza_amoena",395.2,52.25,6.2
"452","Chymomyza_amoena",395.2,51.35,5.9
"453","Chymomyza_amoena",395.2,52.2,5.9
"454","Chymomyza_amoena",395.2,52,5.65
"455","Chymomyza_amoena",395.2,50.9,5.9
"456","Chymomyza_amoena",395.2,51.45,6.15
"457","Chymomyza_amoena",395.2,51.15,6.05
"458","Chymomyza_amoena",395.2,50.9,5.9
"459","Chymomyza_amoena",395.2,51.8,5.7
"460","Chymomyza_amoena",395.2,51.6,5.3
"461","Chymomyza_amoena",395.2,51.5,6.1
