"","species","lat","long","ref","gbifID","key"
"82","Drosophila suzukii","50.093925","8.73417","https://www.inaturalist.org/observations/199112834","4522824648","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"83","Drosophila funebris","28.371201","-16.503628","https://www.inaturalist.org/observations/199265774","4606664565","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"84","Drosophila suzukii","37.818437","-75.483995","https://www.inaturalist.org/observations/199425512","5037009124","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"85","Drosophila suzukii","51.584717","-3.038822","https://www.inaturalist.org/observations/199666263","4607418425","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"86","Drosophila cardini","26.333703","-81.442239","https://www.inaturalist.org/observations/199868765","4607450809","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"87","Drosophila immigrans","-41.333442","174.755463","https://www.inaturalist.org/observations/200010709","4606546271","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"88","Drosophila immigrans","40.513998","-7.588529","https://www.inaturalist.org/observations/200174876","4606627452","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"89","Drosophila busckii","46.925655","23.789644","https://www.inaturalist.org/observations/200184808","4528267142","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"90","Drosophila suzukii","29.917888","-90.109667","https://www.inaturalist.org/observations/200267091","4606607844","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"91","Drosophila guttifera","33.035321","-96.728032","https://www.inaturalist.org/observations/200458513","4606678839","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"92","Drosophila melanogaster","33.481948","-112.303388","https://www.inaturalist.org/observations/200467355","4606694984","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"93","Drosophila suzukii","51.996193","5.730682","https://www.inaturalist.org/observations/200498792","4528084992","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"94","Drosophila busckii","37.326576","-122.047744","https://www.inaturalist.org/observations/200672673","4607255863","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"95","Drosophila immigrans","37.326594","-122.047742","https://www.inaturalist.org/observations/200672697","4606663523","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"96","Drosophila suzukii","35.112338","-89.927795","https://www.inaturalist.org/observations/203225020","4600074835","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
