"","species","lat","long","ref","gbifID","key"
"51","Drosophila immigrans","-35.53115","149.029393","https://www.inaturalist.org/observations/197053422","4516550132","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"52","Drosophila suzukii","49.019137","-123.085246","https://www.inaturalist.org/observations/197182308","4516765646","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"53","Drosophila melanogaster","22.696159","113.83684","https://www.inaturalist.org/observations/197466807","4516402704","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"54","Drosophila suzukii","50.10035","8.701532","https://www.inaturalist.org/observations/197478754","4516583686","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"55","Drosophila suzukii","51.787662","5.921033","https://www.inaturalist.org/observations/197552055","4516569492","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"56","Drosophila suzukii","48.851033","2.345583","https://www.inaturalist.org/observations/197604374","4872393603","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"57","Drosophila busckii","37.385687","-121.834071","https://www.inaturalist.org/observations/197753703","4519037453","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"58","Drosophila busckii","50.352871","3.519304","https://www.inaturalist.org/observations/197819054","4516523902","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"59","Drosophila suzukii","47.566806","7.59609","https://www.inaturalist.org/observations/197890938","4516952559","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"60","Drosophila suzukii","34.09868","-117.813905","https://www.inaturalist.org/observations/198001249","4516905800","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"61","Drosophila busckii","45.098161","1.223957","https://www.inaturalist.org/observations/198061332","4519059879","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"62","Drosophila immigrans","37.718098","-25.483788","https://www.inaturalist.org/observations/198076688","4519162324","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"63","Drosophila immigrans","43.693924","-8.032992","https://www.inaturalist.org/observations/199304765","4525060896","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"64","Drosophila suzukii","52.758497","-1.236092",NA,"4596112517","5e43a220-a91d-485b-b608-58fd22693be7"
"65","Drosophila suzukii","51.95","4.3",NA,"4888180353","8a863029-f435-446a-821e-275f4f641165"
"66","Drosophila suzukii","52.605735","-1.116189",NA,"4596114727","5e43a220-a91d-485b-b608-58fd22693be7"
"67",NA,"31.3354","-110.9379","https://ecdysis.org/collections/individual/index.php?occid=5011207","4929399331","e36d0997-2f51-4718-b684-16ec092ecd82"
"68","Drosophila melanogaster","51.612645","-3.969653",NA,"4866818629","12934e15-749a-4df4-ab89-211c10573525"
"69","Drosophila melanogaster","50.382107","-4.125487",NA,"4594385651","12934e15-749a-4df4-ab89-211c10573525"
"70","Drosophila suzukii","52.758497","-1.236092",NA,"4596114244","5e43a220-a91d-485b-b608-58fd22693be7"
"71","Drosophila suzukii","51.925739","0.697762",NA,"4594387335","12934e15-749a-4df4-ab89-211c10573525"
"72","Drosophila suzukii","52.635305","-0.991469",NA,"4596120843","5e43a220-a91d-485b-b608-58fd22693be7"
"73","Drosophila suzukii","47.548048","19.610092","https://www.inaturalist.org/observations/198420349","4607309294","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"74","Drosophila busckii","37.326369","-122.047864","https://www.inaturalist.org/observations/198430954","4519269859","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"75",NA,"43.034991","-76.136955","https://www.inaturalist.org/observations/198527998","4519279786","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"76","Drosophila funebris","39.733733","-79.805426","https://www.inaturalist.org/observations/198612332","4522538747","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"77","Drosophila busckii","50.352924","3.519196","https://www.inaturalist.org/observations/198682908","4522600455","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"78","Drosophila immigrans","37.495234","-5.808857","https://www.inaturalist.org/observations/198713568","4522596738","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"79",NA,"37.860585","24.031609","https://www.inaturalist.org/observations/198879742","4522674345","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"80","Drosophila immigrans","45.671487","8.192267","https://www.inaturalist.org/observations/198910173","4522684670","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"81","Drosophila immigrans","42.961519","1.090992","https://www.inaturalist.org/observations/198991934","4606629762","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
